Season,Episode,Line Number,Speaker,Line
5,20,1,Ted (2030):,"Children, everybody has at least a moment to take a huge decision, a crazy decision that will change their lives forever. This is a story of mine.
"
5,20,2,Ted (2030):,"It all started with a visit to my mother and her boyfriend for a long time, Clint, who always said things in the style...
"
5,20,3,Clint:,"Ted, your mother is really a woman... really erotic boy.
"
5,20,4,Ted:,"Please do not.
"
5,20,5,Clint:,"As a painter, slash, composer, slash, voluntary combatant with fear. I find it incredibly... sensual. But you have s*x own memories of your mother, right?
"
5,20,6,Ted:,"Please, stop.
"
5,20,7,Clint:,"Exciting her nipple, receiving her milk. You follow me?Fine.
"
5,20,8,Mother:,"I can not believe I'm with this man.
"
5,20,9,Ted:,"Mom, mom, it's good. You're not obliged to ask you with him. There's full of guys...
"
5,20,10,Mother:,"It's so cool! And he chooses!
"
5,20,11,Ted:,"Yeah! Finally, I... I'm glad you're happy.
"
5,20,12,Clint:,"Oh, well... because that was an ad to make you... Son.
"
5,20,13,Ted (2030):,"Yes, my mother was lapping. I married for the second time before I get married once. I was so happy for them.f*cking happy. While weddings can be magical. As far as I know, I'll end up dancing with my future wife in this marriage.
"
5,20,14,Woman:,"And if you do not boil the jars of jam, it will be a haven for bacteria.
"
5,20,15,Ted (2030):,"It was not her.
"
5,20,16,Lily:,"Oh, congratulations!
"
5,20,17,Marshall:,"We're so happy for you!
"
5,20,18,Mother:,"I feel like my 19 years. It is as if the past 35 years had never happened.
"
5,20,19,Ted:,"I love to listen to you, Mom.
"
5,20,20,Clint:,"Son, to show you that your mother and I will always be there for you, I want you to have this beautiful picture I have painted.
"
5,20,21,Ted (2030):,"Children, there was no guitar.
"
5,20,22,Clint:,"I'm sorry, Ted.
"
5,20,23,Robin:,"Best...
"
5,20,24,Marshall:,".. marriage...
"
5,20,25,Lily:,".. never...
"
5,20,26,Barney:,".. seen.
"
5,20,27,Clint:,"Hello everyone. Mahallow to be there with us. Throughout my life, well, this life. I waited a muse as Virginia. Girl... this is your song.
"
