Season,Episode,Line Number,Speaker,Line
8,20,1,Narrator:,"Kids, in April of 2013, your mother and I were very close and yet very far apart.
"
8,20,2,Narrator:,"Kids, you remember
"
8,20,3,This is Robots vs. Wrestlers:,"""Legends.""
"
8,20,4,Robots vs. Wrestlers:,"Legends.
"
8,20,5,(scoffing):,"Girly drink.
"
8,20,6,You got to go to Robots vs. Wrestlers:,"Legends.
"
8,20,7,(fake coughs):,"Maraschino cherries.
"
8,20,8,(laughing):,"I'm sorry!
"
8,20,9,"20-Hours-From-Now-Me, just tell me one thing:","do I hurl?
"
8,20,10,"Okay, how about this:","we go to
"
8,20,11,(whispers):,"Classic.
"
8,20,12,Robin:,"Dear Marshall, I know this is a strange way to apologize, but I'm sorry I let Carl name your drink after me.
"
8,20,13,Robin:,"And that's the only time my father ever said he was proud of me.
"
8,20,14,20-MINUTES-FROM-NOW-BARNEY:,"Okay, everybody, listen up.
"
8,20,15,All:,"She's the coat check girl from that dance club we went to seven years ago.
"
8,20,16,20-YEARS-FROM-NOW-TED:,"You remember that night.
"
8,20,17,Ted:,"Coat check girl.
"
8,20,18,(high-pitched voice):,"Hello?
"
8,20,19,(whispers):,"Sounds like the coast is clear.
"
8,20,20,I made you muffins because of your nickname:,"Muffin.
"
8,20,21,(sobbing):,"Oh, stop it, you're scaring him off.
"
8,20,22,Robin:,"Thank you so much.
"
8,20,23,Narrator:,"Kids, it's been almost 20 years since that cold April night in 2013, and I can safely tell you, if I could go back in time and relive that night, there's no way in hell I'd go to Robots vs. Wrestlers.
"
8,20,24,All:,"♪ Whoa-oh-oh-oh
"
8,8,1,Narrator:,"Kids, this a story about the time your Uncle Marshall went before the New York State Judiciary Committee, a panel that would decide the fate of his career. He thought he'd open with an icebreaker.
"
8,8,2,Narrator:,"Kids, Robin and Barney had recently shared an awkward moment.
"
8,8,3,"After that, they did what any two mature adults would do:",
8,8,4,Ted:,"Ah!
"
8,8,5,Robin:,"How you feeling, Counselor?
"
8,8,6,Narrator:,"The next day, we all headed down to court to support Uncle Marshall.
"
8,8,7,Lily:,"Ted, you were never a badass.
"
8,8,8,"Warren Frankel, who knows me. FRANKEL:","You know, I almost didn't recognize you without handcuffs on.
"
8,8,9,How's this for a fact:,"Frog Lake is home to a buttload of frogs and birds.
"
8,8,10,(quietly):,"Marshall's gonna wipe the floor with this ding-dong.
"
8,8,11,JURY:,"Aww...
"
8,8,12,JURY:,"Aww... Aww...
"
8,8,13,BRAD:,"Frog Lake.
"
8,8,14,♪ WOMAN (sensuously):,"Frog... Lake.
"
8,8,15,"Oh, y-you know what, it must be under my street tag:","Number One Gunna.
"
8,8,16,(scoffs):,"Sure.
"
8,8,17,JUDGE:,"Please be seated.
"
8,8,18,JUDGE:,"Mr. Eriksen?
"
8,8,19,JUDGE:,"I'll allow it. Objection, Your Honor, on grounds that this is ridonk!
"
8,8,20,(whispers):,"$25 million.
"
8,8,21,(deep voice):,"You'd best get your mind right, son!
"
8,8,22,(chuckling):,"Barney... check it out.
"
8,8,23,"Go ahead, laugh, laugh like all the others, but those magicians pulled off the greatest trick of all:","(voice breaking): they accepted me.
"
8,8,24,(laughing):,"Oh, yippee!
"
8,8,25,(laughs):,"What a loser!
"
8,8,26,BRAD:,"Hey.
"
8,8,27,(sighs):,"No. Came here to thank you.
"
8,8,28,For reminding me of why I got into law in the first place:,"to fight for the little guy.
"
8,8,29,Would you object to an 11:,"5 brunch rezzy for two tomorrow at the Popover Pantry?
"
8,9,1,Unrelated:,"I'm getting faced right now.
"
8,9,2,Ted:,"While it is heartwarming to watch your firstborn teethe on a jalapeño popper, wasn't Mickey gonna watch him today?
"
8,9,3,Ted:,"Well, my semester's over and the GNB building is finally done.
"
8,9,4,Both:,"You're hired.
"
8,9,5,Robin:,"The other week, Barney made a move, but I turned him down.
"
8,9,6,Robin:,"Hey there, Scherbats, your voice of reason here.
"
8,9,7,(voice breaking):,"Thai food.
"
8,9,8,(voice breaking):,"then Corny would still be with us right now.
"
8,9,9,Picture a bib that looks like your suit:,"a collar, a tie, a jacket.
"
8,9,10,Ted:,"You're doing it, Marvin.
"
8,9,11,Ted:,"Oh, my God, he just did it again!
"
8,9,12,(sobbing) TED:,"Guys, get in here! Marvin can't stop crawling!
"
8,9,13,You know what they say:,"a watched tot never crawls.
"
8,9,14,But here's the thing:,"I never wanted lobster again.
"
8,9,15,(panting):,"Hey, Robin, I just got your text.
"
8,9,16,(giggles):,"Stop it.
"
8,9,17,Barney:,"Thanks, Robin.
"
8,9,18,Lily:,"Marshall!
"
8,9,19,TED (over baby monitor):,"Get ready for our star runway model--
"
8,9,20,Ted:,"Starting at quarterback, the pride of Cleveland...
"
8,9,21,Lily:,"Meet us at the swim class you apparently signed Marvin up for.
"
8,9,22,Lily:,"Come on, Ted, what do you say?
"
8,9,23,Lily:,"Hey, Ted. Hey. Where's Marvin?
"
8,9,24,Marshall:,"But I-I think that we've figured out what's going on with you.
"
8,9,25,(chuckles):,"Yeah.
"
8,9,26,(sobbing):,"I know how they feel. I'd love one.
"
8,21,1,Narrator:,"Kids, by the spring of 2013, Lily and Marshall had life figured out; Lily was making a name as the art consultant for The Captain, Marshall was a superstar environmental lawyer and home life was a well-oiled machine. And then... something changed.
"
8,21,2,"Lily, small order of business:","I'm moving to Rome and I'd like you to come with me.
"
8,21,3,Mission Impossible:,"Ghost Protocol.
"
8,21,4,"Barney, this girl has the Mission Impossible:","Ghost Protocol of bodies.
"
8,21,5,"My summer in Paris, back in college, was so enlightening:","the art, the history, the free cheese just for wearing a low-cut top.
"
8,21,6,Narrator:,"And that's when Lily realized what moving to Rome would really mean.
"
8,21,7,Narrator:,"I'm sorry. I got to hit pause for a second.
"
8,21,8,Narrator:,"So Lily went to visit Marshall at work, hoping she wasn't interrupting anything important.
"
8,21,9,Can you point me to the... GUYS:,"Coat rack?
"
8,21,10,Barney:,"And Liddy would be all...
"
8,21,11,Ted:,"Really?
"
8,21,12,"Oh, by the way, I talked to the florist, and the violets are gonna be gorgeous. BARNEY:","Okay, Barney. You can do this.
"
8,21,13,Narrator:,"At that very moment in little Italy.
"
