Season,Episode,Line Number,Speaker,Line
9,20,1,NARRATOR,"It was the day of Barney and Robin's wedding, and a surprise guest had just arrived.
"
9,20,2,ROBIN,"Mom, I-I can't believe you're here.
"
9,20,3,PILOT,"Ladies and gentlemen, we are cleared for takeoff.
"
9,20,4,"Well, it's official","I'm gonna be Judge Marshall Eriksen.
"
9,20,5,A little after 3,"0 a.m., Billy Zabka. Why?
"
9,20,6,SEVERAL PEOPLE,"Boo...!
"
9,20,7,"Wait, why was Lily getting into the Captain's car at 3","0 in the morning?
"
9,20,8,ROBIN,"The saltine challenge?
"
9,20,9,LILY,"Oh, Genevieve, not good.
"
9,20,10,GENEVIEVE,"For the first ten years I knew him, I didn't even know what your father did for a living.
"
9,20,11,MARSHALL,"Captain, I know something happened between you and Lily last night.
"
9,20,12,MARSHALL,"All right, Captain. What the hell happened here last night?
"
9,20,13,(choked up),"Hi, I-I know it's late, but I've got to get out of here.
"
9,20,14,CAPTAIN,"So I sent the car. When she got here...
"
9,20,15,CAPTAIN,"And when she came out, she had to leave right away.
"
9,20,16,LILY,"I can keep a secret.
"
9,20,17,TED,"Why?
"
9,20,18,(laughing),"Oh, Barney, my dear boy.
"
9,20,19,TED,"Lily knew that cigarette was probably her last for a while.
"
9,20,20,TED,"What followed was a long day and a half for Lily.
"
9,20,21,Only problem,"she was all out.
"
9,20,22,"Now, it's 3","0 a.m., you need a cigarette, and the only place that's open is an EZ Pick that's five miles down the road.
"
9,20,23,TED,"The problem was, Lily didn't want to smoke in front of her new employer.
"
9,20,24,TED,"Now, you're Lily.
"
9,8,1,NARRATOR,"Kids, Barney's mom had this blouse that she absolutely loved, but then Robin won it in a poker game, which led to some slight awkwardness.
"
9,8,2,BARNEY,"Please, Mom, I need you to just be cool.
"
9,8,3,NARRATOR,"Kids, not far from the Farhampton Inn, there's a lighthouse.
"
9,8,4,NARRATOR,"Now, late the night before, thanks to Marshall's travel companion, Daphne, Lily had received some unsettling news.
"
9,8,5,NARRATOR,"Screwing up their whole plan to move to Italy.
"
9,8,6,NARRATOR,"As for Marshall and Daphne, they got caught in that big storm.
"
9,8,7,CLINT,"You know what I'm talking about, don't you, Marshall?
"
9,8,8,BARNEY,"Actually, that's exactly what she is.
"
9,8,9,NARRATOR,"Kids, we've known your Aunt Robin for eight years at that point, and here's what we knew about her mom.
"
9,8,10,NARRATOR,"And... that's everything.
"
9,8,11,(whispering),"Get out of this now.
"
9,8,12,BARNEY,"Aw.
"
9,8,13,NARRATOR,"Cassie was the girl I'd spent the entire previous night consoling.
"
