Season,Episode,Line Number,Speaker,Line
4,20,1,Barney,"I heard a joke at work.
"
4,20,2,Ted,"Come on. She will not like it. It's funny for the guys, not girls.
"
4,20,3,Barney,"It's sexist! When it's funny, it's funny. Lily's cool. She'll love it.
"
4,20,4,Marshall,"Do it yourself.
"
4,20,5,Lily,"Tell it.
"
4,20,6,Barney,"Ready? What is the difference between jam and Nutella? (Marshall laughs) It's funny.
"
4,20,7,Ted,"For the guys.
"
4,20,8,Marshall,"She will not like it.
"
4,20,9,Lily,"Why do not I decide? What is the difference between jam and Nutella?
"
4,20,10,Ted (2030),"Can Barney gave the fall. To date, it remains the most disgusting joke I have ever heard in my life. And no, I do not say.
"
4,20,11,Lily,"Yeah, I can not hang out with you.
"
4,20,12,Barney,"Come on. It's funny. This is...
"
4,20,13,Ted,"I told you so.
"
4,20,14,Barney,"She'll be back.
"
4,20,15,Ted (2030),"And we saw more Lily for 4 weeks.
"
4,20,16,Ted (2030),"The children, after being fired, I finally realized my lifelong dream: to create my own architectural firm. I had just customers.
"
4,20,17,"Robin, out of the room","I think it's great that you fly with your own wings. I admire that.
"
4,20,18,Ted,"Thank you. And thank you for letting me use the apartment.
"
4,20,19,Robin,"Yeah, sure. Anything you want.
"
4,20,20,Ted,"A little thing, do you mind to cut off the TV during labor?
"
4,20,21,Robin,"It's not work!
"
4,20,22,Ted,"Sorry. It's just... I can not concentrate during the Wheel of Fortune... A penny saved is a penny, Helen!
"
4,20,23,Robin,"I know you're nervous, but we must stop procrastinating. You've spent two days to choose the pen official Mosbius Designs.
"
4,20,24,Ted,"I've suggested! I removed the felt. I make fun of that? The felt is back.
"
4,20,25,Barney,"You know for layoffs?
"
4,20,26,Marshall,"Yes, I know. I tag. Are you worried?
"
4,20,27,Barney,"Are you kidding? I know one thing about this company. I will never be fired. It is likely that one day I was stranded on a beach with no footprints or teeth, but I will not fire.
"
4,20,28,Marshall,"I would like to have your insurance.
"
4,20,29,Barney,"You just gotta find a way to make you absolutely critical.
"
4,20,30,Marshall,"I work harder than anyone in my division.
"
4,20,31,Barney,"Keep your job has nothing to do with being a hard worker. You need something.
"
4,20,32,Marshall,"What do you mean something?
"
4,20,33,Barney,"You know, something that makes you funny and loved, as Marcus Denisco.
"
